"site_no","date","discharge"
"02331600",1990-01-01,1630
"02331600",1990-01-02,1080
"02331600",1990-01-03,928
"02331600",1990-01-04,1010
"02331600",1990-01-05,1040
"02331600",1990-01-06,1130
"02331600",1990-01-07,1050
"02331600",1990-01-08,1240
"02331600",1990-01-09,1110
"02331600",1990-01-10,1010
"02331600",1990-01-11,934
"02331600",1990-01-12,880
"02331600",1990-01-13,840
"02331600",1990-01-14,820
"02331600",1990-01-15,808
"02331600",1990-01-16,790
"02331600",1990-01-17,776
"02331600",1990-01-18,796
"02331600",1990-01-19,770
"02331600",1990-01-20,877
"02331600",1990-01-21,2830
"02331600",1990-01-22,1370
"02331600",1990-01-23,1100
"02331600",1990-01-24,1070
"02331600",1990-01-25,3070
"02331600",1990-01-26,1950
"02331600",1990-01-27,1400
"02331600",1990-01-28,1220
"02331600",1990-01-29,1420
"02331600",1990-01-30,1540
"02331600",1990-01-31,1260
"02331600",1990-02-01,1160
"02331600",1990-02-02,1120
"02331600",1990-02-03,1120
"02331600",1990-02-04,1960
"02331600",1990-02-05,1560
"02331600",1990-02-06,1290
"02331600",1990-02-07,1250
"02331600",1990-02-08,1150
"02331600",1990-02-09,1210
"02331600",1990-02-10,4410
"02331600",1990-02-11,2200
"02331600",1990-02-12,1670
"02331600",1990-02-13,1470
"02331600",1990-02-14,1370
"02331600",1990-02-15,1310
"02331600",1990-02-16,4500
"02331600",1990-02-17,3110
"02331600",1990-02-18,2110
"02331600",1990-02-19,2390
"02331600",1990-02-20,1900
"02331600",1990-02-21,1680
"02331600",1990-02-22,1860
"02331600",1990-02-23,1900
"02331600",1990-02-24,1640
"02331600",1990-02-25,1500
"02331600",1990-02-26,1440
"02331600",1990-02-27,1400
"02331600",1990-02-28,1370
"02331600",1990-03-01,1350
"02331600",1990-03-02,1950
"02331600",1990-03-03,3160
"02331600",1990-03-04,1930
"02331600",1990-03-05,1640
"02331600",1990-03-06,1490
"02331600",1990-03-07,1410
"02331600",1990-03-08,1510
"02331600",1990-03-09,1840
"02331600",1990-03-10,1770
"02331600",1990-03-11,1600
"02331600",1990-03-12,1460
"02331600",1990-03-13,1390
"02331600",1990-03-14,1350
"02331600",1990-03-15,1320
"02331600",1990-03-16,2850
"02331600",1990-03-17,14100
"02331600",1990-03-18,4100
"02331600",1990-03-19,2740
"02331600",1990-03-20,2360
"02331600",1990-03-21,2050
"02331600",1990-03-22,1900
"02331600",1990-03-23,1820
"02331600",1990-03-24,1730
"02331600",1990-03-25,1680
"02331600",1990-03-26,1640
"02331600",1990-03-27,1580
"02331600",1990-03-28,1520
"02331600",1990-03-29,1520
"02331600",1990-03-30,1520
"02331600",1990-03-31,1530
"02331600",1990-04-01,1440
"02331600",1990-04-02,1410
"02331600",1990-04-03,1370
"02331600",1990-04-04,1330
"02331600",1990-04-05,1300
"02331600",1990-04-06,1290
"02331600",1990-04-07,1270
"02331600",1990-04-08,1210
"02331600",1990-04-09,1200
"02331600",1990-04-10,1210
"02331600",1990-04-11,1360
"02331600",1990-04-12,1190
"02331600",1990-04-13,1150
"02331600",1990-04-14,1130
"02331600",1990-04-15,1160
"02331600",1990-04-16,1120
"02331600",1990-04-17,1080
"02331600",1990-04-18,1050
"02331600",1990-04-19,1020
"02331600",1990-04-20,1020
"02331600",1990-04-21,1040
"02331600",1990-04-22,1020
"02331600",1990-04-23,1010
"02331600",1990-04-24,984
"02331600",1990-04-25,950
"02331600",1990-04-26,925
"02331600",1990-04-27,907
"02331600",1990-04-28,1120
"02331600",1990-04-29,1170
"02331600",1990-04-30,988
"02331600",1990-05-01,923
"02331600",1990-05-02,886
"02331600",1990-05-03,865
"02331600",1990-05-04,857
"02331600",1990-05-05,855
"02331600",1990-05-06,813
"02331600",1990-05-07,805
"02331600",1990-05-08,780
"02331600",1990-05-09,987
"02331600",1990-05-10,1840
"02331600",1990-05-11,1130
"02331600",1990-05-12,957
"02331600",1990-05-13,945
"02331600",1990-05-14,882
"02331600",1990-05-15,819
"02331600",1990-05-16,813
"02331600",1990-05-17,845
"02331600",1990-05-18,781
"02331600",1990-05-19,733
"02331600",1990-05-20,1040
"02331600",1990-05-21,1040
"02331600",1990-05-22,842
"02331600",1990-05-23,784
"02331600",1990-05-24,745
"02331600",1990-05-25,720
"02331600",1990-05-26,704
"02331600",1990-05-27,700
"02331600",1990-05-28,736
"02331600",1990-05-29,791
"02331600",1990-05-30,674
"02331600",1990-05-31,650
"02331600",1990-06-01,639
"02331600",1990-06-02,652
"02331600",1990-06-03,708
"02331600",1990-06-04,671
"02331600",1990-06-05,618
"02331600",1990-06-06,599
"02331600",1990-06-07,588
"02331600",1990-06-08,574
"02331600",1990-06-09,560
"02331600",1990-06-10,573
"02331600",1990-06-11,540
"02331600",1990-06-12,513
"02331600",1990-06-13,505
"02331600",1990-06-14,499
"02331600",1990-06-15,490
"02331600",1990-06-16,477
"02331600",1990-06-17,508
"02331600",1990-06-18,494
"02331600",1990-06-19,461
"02331600",1990-06-20,442
"02331600",1990-06-21,431
"02331600",1990-06-22,428
"02331600",1990-06-23,416
"02331600",1990-06-24,405
"02331600",1990-06-25,401
"02331600",1990-06-26,393
"02331600",1990-06-27,390
"02331600",1990-06-28,410
"02331600",1990-06-29,398
"02331600",1990-06-30,384
"02331600",1990-07-01,368
"02331600",1990-07-02,365
"02331600",1990-07-03,347
"02331600",1990-07-04,335
"02331600",1990-07-05,331
"02331600",1990-07-06,322
"02331600",1990-07-07,318
"02331600",1990-07-08,332
"02331600",1990-07-09,345
"02331600",1990-07-10,377
"02331600",1990-07-11,384
"02331600",1990-07-12,365
"02331600",1990-07-13,478
"02331600",1990-07-14,1260
"02331600",1990-07-15,1120
"02331600",1990-07-16,558
"02331600",1990-07-17,452
"02331600",1990-07-18,537
"02331600",1990-07-19,530
"02331600",1990-07-20,538
"02331600",1990-07-21,1070
"02331600",1990-07-22,1090
"02331600",1990-07-23,1270
"02331600",1990-07-24,723
"02331600",1990-07-25,605
"02331600",1990-07-26,514
"02331600",1990-07-27,464
"02331600",1990-07-28,434
"02331600",1990-07-29,427
"02331600",1990-07-30,448
"02331600",1990-07-31,405
"02331600",1990-08-01,381
"02331600",1990-08-02,385
"02331600",1990-08-03,406
"02331600",1990-08-04,541
"02331600",1990-08-05,480
"02331600",1990-08-06,593
"02331600",1990-08-07,438
"02331600",1990-08-08,396
"02331600",1990-08-09,400
"02331600",1990-08-10,462
"02331600",1990-08-11,386
"02331600",1990-08-12,367
"02331600",1990-08-13,363
"02331600",1990-08-14,361
"02331600",1990-08-15,372
"02331600",1990-08-16,367
"02331600",1990-08-17,335
"02331600",1990-08-18,327
"02331600",1990-08-19,331
"02331600",1990-08-20,331
"02331600",1990-08-21,335
"02331600",1990-08-22,467
"02331600",1990-08-23,675
"02331600",1990-08-24,554
"02331600",1990-08-25,414
"02331600",1990-08-26,368
"02331600",1990-08-27,358
"02331600",1990-08-28,331
"02331600",1990-08-29,314
"02331600",1990-08-30,335
"02331600",1990-08-31,496
"02331600",1990-09-01,349
"02331600",1990-09-02,322
"02331600",1990-09-03,311
"02331600",1990-09-04,309
"02331600",1990-09-05,296
"02331600",1990-09-06,288
"02331600",1990-09-07,284
"02331600",1990-09-08,270
"02331600",1990-09-09,631
"02331600",1990-09-10,445
"02331600",1990-09-11,709
"02331600",1990-09-12,969
"02331600",1990-09-13,2030
"02331600",1990-09-14,1710
"02331600",1990-09-15,1160
"02331600",1990-09-16,719
"02331600",1990-09-17,571
"02331600",1990-09-18,497
"02331600",1990-09-19,462
"02331600",1990-09-20,443
"02331600",1990-09-21,421
"02331600",1990-09-22,849
"02331600",1990-09-23,559
"02331600",1990-09-24,458
"02331600",1990-09-25,425
