"site_no","date","sscmgL"
"02342500",1993-06-18,8
"02343400",1994-05-12,9
"02343750",1994-05-12,20
"02342920",1994-05-13,9
"02342920",1993-06-18,13
"02342500",1994-05-13,12
"02343370",1993-06-09,23
"02343400",1994-03-16,6
"02343750",1994-03-16,10
"02342500",1994-03-16,12
"02342920",1994-03-17,8
"02358000",1994-07-06,50
"02358000",1994-07-09,35
"02358000",1994-07-11,57
"02358000",1994-07-11,63
"02358000",1991-05-22,11
"02358000",1992-07-28,18
"02358000",1994-05-12,7
"02358000",1992-09-18,13
"02358000",1994-07-13,70
"02358000",1991-08-12,9
"02358000",1994-07-07,149
"02358000",1991-06-25,4
"02358000",1991-07-02,10
"02358000",1993-08-06,11
"02358000",1994-07-08,56
"02358000",1994-07-13,66
"02358000",1994-09-30,9
"02358000",1994-09-30,10
"02358000",1991-06-28,6
"02358000",1991-08-12,14
"02358000",1993-08-06,9
"02358000",1994-07-13,69
"02358000",1994-09-30,13
"02358000",1994-07-07,118
"02358000",1991-05-01,6
"02358000",1993-05-14,13
"02358000",1992-09-18,14
"02358000",1994-05-12,7
"02358000",1991-06-28,8
"02358000",1992-07-28,20
"02358000",1991-06-28,6
"02358000",1992-06-19,11
"02358000",1991-09-26,1
"02358000",1994-06-02,6
"02358000",1991-05-22,10
"02358000",1994-07-11,69
"02358000",1991-07-01,5
"02358000",1991-06-25,6
"02358000",1994-07-08,161
"02358000",1991-06-28,5
"02358000",1994-06-02,7
"02358000",1994-05-12,5
"02358000",1994-07-11,54
"02358000",1994-07-11,57
"02358000",1991-06-28,17
"02358000",1992-06-19,10
"02358000",1994-07-06,57
"02358000",1992-07-28,21
"02358000",1994-07-08,166
"02358000",1994-07-08,132
"02358000",1991-06-29,9
"02358000",1991-05-01,1
"02358000",1992-05-05,10
"02358000",1992-07-28,17
"02358000",1994-07-09,36
"02358000",1994-06-02,7
"02358000",1993-05-14,13
"02358000",1994-09-30,8
"02358000",1994-06-02,8
"02358000",1991-05-01,6
"02358000",1994-06-02,8
"02358000",1991-05-22,6
"02358000",1992-09-18,8
"02358000",1994-06-02,5
"02358000",1991-05-01,0
"02358000",1992-06-19,10
"02358000",1991-06-25,8
"02358000",1991-06-25,5
"02358000",1993-05-14,15
"02358000",1994-05-12,7
"02358000",1992-05-05,7
"02358000",1991-09-26,3
"02358000",1994-05-12,3
"02358000",1991-09-26,3
"02358000",1993-05-14,14
"02358000",1991-09-26,2
"02358000",1990-09-10,7
"02358000",1994-09-30,9
"02358000",1994-07-11,57
"02358000",1992-09-18,13
"02358000",1991-06-29,10
"02358000",1994-06-02,1
"02358000",1991-06-29,10
"02358000",1994-07-11,62
"02358000",1992-08-17,4
"02358000",1991-06-28,5
"02358000",1990-04-17,13
"02358000",1994-05-12,8
"02358000",1992-09-18,13
"02358000",1994-07-13,83
"02358000",1994-09-30,8
"02358000",1993-08-06,6
"02358000",1992-06-19,10
"02358000",1990-04-17,12
"02358000",1991-07-01,4
"02358000",1992-05-05,9
"02358000",1991-05-22,6
"02358000",1991-06-28,5
"02358000",1990-04-17,16
"02358000",1994-05-12,5
"02358000",1991-08-12,11
