"site_no","date","discharge"
"02334430",1990-01-01,3480
"02334430",1990-01-02,3490
"02334430",1990-01-03,3510
"02334430",1990-01-04,3510
"02334430",1990-01-05,3510
"02334430",1990-01-06,341
"02334430",1990-01-07,504
"02334430",1990-01-08,4350
"02334430",1990-01-09,4350
"02334430",1990-01-10,4280
"02334430",1990-01-11,4240
"02334430",1990-01-12,4320
"02334430",1990-01-13,330
"02334430",1990-01-14,488
"02334430",1990-01-15,3850
"02334430",1990-01-16,3920
"02334430",1990-01-17,3870
"02334430",1990-01-18,3850
"02334430",1990-01-19,3920
"02334430",1990-01-20,365
"02334430",1990-01-21,378
"02334430",1990-01-22,3270
"02334430",1990-01-23,3280
"02334430",1990-01-24,2200
"02334430",1990-01-25,409
"02334430",1990-01-26,1070
"02334430",1990-01-27,341
"02334430",1990-01-28,335
"02334430",1990-01-29,6720
"02334430",1990-01-30,7490
"02334430",1990-01-31,7090
"02334430",1990-02-01,7140
"02334430",1990-02-02,7120
"02334430",1990-02-03,1840
"02334430",1990-02-04,1790
"02334430",1990-02-05,7070
"02334430",1990-02-06,7130
"02334430",1990-02-07,7140
"02334430",1990-02-08,7170
"02334430",1990-02-09,5730
"02334430",1990-02-10,367
"02334430",1990-02-11,1860
"02334430",1990-02-12,7720
"02334430",1990-02-13,9530
"02334430",1990-02-14,9560
"02334430",1990-02-15,4250
"02334430",1990-02-16,419
"02334430",1990-02-17,2930
"02334430",1990-02-18,3330
"02334430",1990-02-19,3790
"02334430",1990-02-20,7190
"02334430",1990-02-21,4110
"02334430",1990-02-22,4090
"02334430",1990-02-23,7170
"02334430",1990-02-24,7510
"02334430",1990-02-25,9310
"02334430",1990-02-26,9310
"02334430",1990-02-27,9540
"02334430",1990-02-28,9570
"02334430",1990-03-01,7150
"02334430",1990-03-02,2860
"02334430",1990-03-03,361
"02334430",1990-03-04,350
"02334430",1990-03-05,7090
"02334430",1990-03-06,6980
"02334430",1990-03-07,7100
"02334430",1990-03-08,3340
"02334430",1990-03-09,7130
"02334430",1990-03-10,405
"02334430",1990-03-11,343
"02334430",1990-03-12,6220
"02334430",1990-03-13,6380
"02334430",1990-03-14,6410
"02334430",1990-03-15,4540
"02334430",1990-03-16,419
"02334430",1990-03-17,747
"02334430",1990-03-18,685
"02334430",1990-03-19,2320
"02334430",1990-03-20,6910
"02334430",1990-03-21,9220
"02334430",1990-03-22,9230
"02334430",1990-03-23,8750
"02334430",1990-03-24,7490
"02334430",1990-03-25,9270
"02334430",1990-03-26,9300
"02334430",1990-03-27,7460
"02334430",1990-03-28,7140
"02334430",1990-03-29,6990
"02334430",1990-03-30,4220
"02334430",1990-03-31,591
"02334430",1990-04-01,7110
"02334430",1990-04-02,6900
"02334430",1990-04-03,7010
"02334430",1990-04-04,7110
"02334430",1990-04-05,7140
"02334430",1990-04-06,7190
"02334430",1990-04-07,581
"02334430",1990-04-08,582
"02334430",1990-04-09,7170
"02334430",1990-04-10,5350
"02334430",1990-04-11,7200
"02334430",1990-04-12,7210
"02334430",1990-04-13,6480
"02334430",1990-04-14,585
"02334430",1990-04-15,586
"02334430",1990-04-16,4100
"02334430",1990-04-17,4110
"02334430",1990-04-18,4100
"02334430",1990-04-19,4100
"02334430",1990-04-20,4100
"02334430",1990-04-21,583
"02334430",1990-04-22,583
"02334430",1990-04-23,2370
"02334430",1990-04-24,2360
"02334430",1990-04-25,3130
"02334430",1990-04-26,2380
"02334430",1990-04-27,2370
"02334430",1990-04-28,590
"02334430",1990-04-29,588
"02334430",1990-04-30,2020
"02334430",1990-05-01,2020
"02334430",1990-05-02,2030
"02334430",1990-05-03,2030
"02334430",1990-05-04,2020
"02334430",1990-05-05,594
"02334430",1990-05-06,597
"02334430",1990-05-07,3150
"02334430",1990-05-08,3150
"02334430",1990-05-09,3150
"02334430",1990-05-10,3130
"02334430",1990-05-11,3140
"02334430",1990-05-12,591
"02334430",1990-05-13,593
"02334430",1990-05-14,3150
"02334430",1990-05-15,3150
"02334430",1990-05-16,3130
"02334430",1990-05-17,3160
"02334430",1990-05-18,3140
"02334430",1990-05-19,593
"02334430",1990-05-20,593
"02334430",1990-05-21,2800
"02334430",1990-05-22,2780
"02334430",1990-05-23,2780
"02334430",1990-05-24,2780
"02334430",1990-05-25,2780
"02334430",1990-05-26,590
"02334430",1990-05-27,600
"02334430",1990-05-28,2380
"02334430",1990-05-29,2380
"02334430",1990-05-30,2380
"02334430",1990-05-31,2380
"02334430",1990-06-01,2390
"02334430",1990-06-02,591
"02334430",1990-06-03,603
"02334430",1990-06-04,1680
"02334430",1990-06-05,1830
"02334430",1990-06-06,1520
"02334430",1990-06-07,1670
"02334430",1990-06-08,1650
"02334430",1990-06-09,597
"02334430",1990-06-10,599
"02334430",1990-06-11,2420
"02334430",1990-06-12,2280
"02334430",1990-06-13,1840
"02334430",1990-06-14,1840
"02334430",1990-06-15,1900
"02334430",1990-06-16,593
"02334430",1990-06-17,757
"02334430",1990-06-18,2910
"02334430",1990-06-19,2940
"02334430",1990-06-20,3700
"02334430",1990-06-21,3750
"02334430",1990-06-22,3810
"02334430",1990-06-23,588
"02334430",1990-06-24,760
"02334430",1990-06-25,3470
"02334430",1990-06-26,3330
"02334430",1990-06-27,3350
"02334430",1990-06-28,3350
"02334430",1990-06-29,3370
"02334430",1990-06-30,2250
"02334430",1990-07-01,2020
"02334430",1990-07-02,4610
"02334430",1990-07-03,4510
"02334430",1990-07-04,4510
"02334430",1990-07-05,4520
"02334430",1990-07-06,4560
"02334430",1990-07-07,584
"02334430",1990-07-08,930
"02334430",1990-07-09,3920
"02334430",1990-07-10,4120
"02334430",1990-07-11,4170
"02334430",1990-07-12,4150
"02334430",1990-07-13,1220
"02334430",1990-07-14,606
"02334430",1990-07-15,904
"02334430",1990-07-16,3490
"02334430",1990-07-17,848
"02334430",1990-07-18,1540
"02334430",1990-07-19,3090
"02334430",1990-07-20,3070
"02334430",1990-07-21,591
"02334430",1990-07-22,937
"02334430",1990-07-23,1260
"02334430",1990-07-24,1100
"02334430",1990-07-25,1090
"02334430",1990-07-26,1100
"02334430",1990-07-27,1170
"02334430",1990-07-28,594
"02334430",1990-07-29,943
"02334430",1990-07-30,3080
"02334430",1990-07-31,2180
"02334430",1990-08-01,2990
"02334430",1990-08-02,3000
"02334430",1990-08-03,3030
"02334430",1990-08-04,1180
"02334430",1990-08-05,944
"02334430",1990-08-06,3990
"02334430",1990-08-07,3850
"02334430",1990-08-08,3860
"02334430",1990-08-09,3860
"02334430",1990-08-10,3910
"02334430",1990-08-11,597
"02334430",1990-08-12,940
"02334430",1990-08-13,3960
"02334430",1990-08-14,3900
"02334430",1990-08-15,3890
"02334430",1990-08-16,3900
"02334430",1990-08-17,4560
"02334430",1990-08-18,600
"02334430",1990-08-19,948
"02334430",1990-08-20,2840
"02334430",1990-08-21,2710
